,time,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,price_per_kwh,dishwasher,ev,freezer,grid export,grid import,heat pump,pv,refrigerator,washing machine,total energy consumption,energy balance
8635,12-25 19:10:00,0.0,0.0,0.0,0.0,0.0,7.50625,12.034375,0.0,0.26706,46.042166666666674,1195.8516666666667,190.72625000000002,9625.617,5096.225416666667,1319.9175,12362.653666666667,72.37441666666666,49.45433333333333,2874.3663333333334,7833.262083333334
8636,12-25 20:10:00,0.0,0.0,0.0,0.0,0.0,7.273125,11.97,0.0,0.26706,46.053333333333335,1195.8516666666667,190.74241666666668,9625.617,5097.108333333333,1320.2331666666666,12362.653666666667,72.39408333333334,49.45433333333333,2874.729,7834.1449999999995
8637,12-25 21:10:00,0.0,0.0,0.0,0.0,0.0,7.103125,11.929375,0.0,0.20458,46.053333333333335,1195.8516666666667,190.75616666666667,9625.617,5097.996833333334,1320.5089166666667,12362.653666666667,72.40075,49.45433333333333,2875.025166666667,7835.0335000000005
8638,12-25 22:10:00,0.0,0.0,0.0,0.0,0.0,6.920625,11.82375,0.0,0.20458,46.053333333333335,1195.8516666666667,190.77075,9625.617,5098.940583333333,1320.7940833333334,12362.653666666667,72.41808333333334,49.45433333333333,2875.34225,7835.97725
8639,12-25 23:10:00,0.0,0.0,0.0,0.0,0.0,6.736875,11.74625,0.0,0.20458,46.053333333333335,1195.8516666666667,190.78408333333334,9625.617,5099.603083333333,1321.07275,12362.653666666667,72.42733333333334,49.45433333333333,2875.6435,7836.639749999999
8640,12-26 00:10:00,0.0,0.0,0.0,0.0,0.0,6.501875,11.755,0.0,0.20458,46.053333333333335,1195.8516666666667,190.79791666666668,9625.617,5100.2536666666665,1321.3621666666666,12362.653666666667,72.43658333333333,49.45433333333333,2875.9559999999997,7837.290333333333
8641,12-26 01:10:00,0.0,0.0,0.0,0.0,0.0,6.2593749999999995,11.83625,0.0,0.20458,46.053333333333335,1195.8516666666667,190.81349999999998,9625.617,5100.965333333334,1321.6851666666666,12362.653666666667,72.45291666666667,49.45433333333333,2876.310916666667,7838.002
8642,12-26 02:10:00,0.0,0.0,0.0,0.0,0.0,6.16,11.926875,0.0,0.20458,46.053333333333335,1195.8516666666667,190.82466666666664,9625.617,5101.809416666667,1321.9839166666668,12362.653666666667,72.455,49.45433333333333,2876.6229166666667,7838.846083333333
8643,12-26 03:10:00,0.0,0.0,0.0,0.0,0.0,6.103125,12.000625000000001,0.0,0.20458,46.053333333333335,1195.8516666666667,190.84133333333332,9625.617,5102.69275,1322.4964166666666,12362.653666666667,72.47541666666666,49.45433333333333,2877.1725,7839.729416666666
8644,12-26 04:10:00,0.0,0.0,0.0,0.0,0.0,6.146875,12.0475,0.0,0.20458,46.053333333333335,1195.8516666666667,190.85383333333334,9625.617,5103.363083333333,1322.8367500000002,12362.653666666667,72.47766666666666,49.45433333333333,2877.527583333333,7840.39975
8645,12-26 05:10:00,0.0,0.0,0.0,0.0,0.0,6.25,11.93875,0.0,0.20458,46.053333333333335,1195.8516666666667,190.86808333333332,9625.617,5104.065916666666,1323.1612499999999,12362.653666666667,72.49216666666666,49.45433333333333,2877.880833333333,7841.102583333333
8646,12-26 06:10:00,0.0,0.0,0.0,0.0,0.0,6.203125,11.74125,0.0,0.20458,46.053333333333335,1195.8516666666667,190.88266666666667,9625.617,5105.18725,1323.6911666666667,12362.653666666667,72.50233333333334,49.45433333333333,2878.4355,7842.223916666667
8647,12-26 07:10:00,0.0,0.0,0.0,0.0,0.0,6.088125,11.736875,0.0,0.20458,46.053333333333335,1195.8516666666667,190.89616666666666,9625.622083333334,5105.99325,1324.1296666666667,12362.724833333334,72.50591666666666,49.45433333333333,2878.8910833333334,7843.0960000000005
8648,12-26 08:10:00,0.0,0.0,0.0,0.0,0.0,5.9506250000000005,11.9025,0.0,0.20458,46.053333333333335,1195.8519166666667,190.91441666666665,9625.79175,5106.593833333333,1324.4402499999999,12363.460583333333,72.52558333333333,49.45433333333333,2879.239833333333,7844.2626666666665
8649,12-26 09:10:00,0.0,0.0,0.0,0.0,0.0,5.88375,11.965625000000001,0.0,0.26706,46.053333333333335,1195.852,190.92658333333335,9626.225250000001,5107.206916666667,1324.76875,12364.97075,72.52633333333334,49.45433333333333,2879.581333333333,7845.952416666667
8650,12-26 10:10:00,1025.29125,134.985625,72.395625,1.895,8.71,6.169375,11.978125,0.0,0.26706,46.053333333333335,1195.852,190.94074999999998,9627.25625,5107.495,1325.0285833333335,12367.607916666668,72.54175,49.45433333333333,2879.87075,7847.846666666667
8651,12-26 11:10:00,1797.34125,242.694375,112.938125,3.570625,14.46,7.0287500000000005,12.16375,0.0,0.26706,46.053333333333335,1195.852,190.95475,9629.013166666666,5107.647666666667,1325.2895,12370.44975,72.55033333333334,49.45433333333333,2880.1542499999996,7849.08425
